Company,TypeName,Ram,Weight,TouchScreen,Ips,Ppi,Cpu_brand,HDD,SSD,Gpu_brand,Os,Price
Dell,Gaming,8,2.65,0,0,141.21199808219862,Intel Core i5,0,0,Nvidia,Windows,10.83096982484206
HP,2 in 1 Convertible,4,2.3,1,0,100.45466986113652,Intel Core i5,500,0,Intel,Windows,10.504687851059666
HP,Ultrabook,8,1.84,0,0,141.21199808219862,Intel Core i7,0,512,Intel,Windows,11.211900368986475
Dell,2 in 1 Convertible,12,1.6,1,1,165.6321180513006,Intel Core i7,0,256,Intel,Windows,11.144911042902732
HP,Notebook,4,1.63,0,0,100.45466986113652,Intel Core i3,0,128,Intel,Windows,10.510802297245792
HP,Notebook,8,1.95,0,0,157.3505121487356,Intel Core i5,0,256,Intel,Windows,11.061462490597744
Lenovo,Notebook,4,1.44,0,0,111.93520355955212,Other Intel Processor,0,0,Intel,Windows,9.652314828500415
Lenovo,2 in 1 Convertible,8,1.37,1,1,165.6321180513006,Intel Core i5,0,512,Intel,Windows,11.484896292248726
HP,Notebook,4,1.86,0,0,100.45466986113652,AMD Processor,500,0,AMD,Windows,9.964522443121997
HP,2 in 1 Convertible,16,1.29,1,1,331.2642361026012,Intel Core i7,0,1000,Intel,Windows,11.7789960831843
Lenovo,Gaming,16,2.5,0,1,141.21199808219862,AMD Processor,1000,512,AMD,Windows,10.882315804880689
Lenovo,2 in 1 Convertible,16,1.3,1,1,276.053530085501,Intel Core i7,0,1000,Intel,Windows,11.470547260182666
Asus,Notebook,4,2.0,0,0,100.45466986113652,Other Intel Processor,500,0,Intel,Windows,9.692588727638356
Asus,2 in 1 Convertible,8,2.2,1,0,100.45466986113652,Intel Core i5,1000,0,Intel,Windows,10.580858947180335
Dell,Ultrabook,4,1.5,0,0,125.36742798669836,Intel Core i3,0,128,Intel,Windows,11.037726951247386
Lenovo,Notebook,8,1.7,0,0,157.3505121487356,Intel Core i5,0,180,Intel,Windows,11.064804181259648
Lenovo,Notebook,4,2.05,0,0,141.21199808219862,Intel Core i3,0,128,Intel,Windows,10.421280845617712
HP,Workstation,16,2.6,0,0,141.21199808219862,Intel Core i7,0,256,Nvidia,Windows,11.76667053684216
Dell,Notebook,16,2.8,0,0,127.33567457123112,Intel Core i7,2000,256,AMD,Windows,11.144911042902732
Lenovo,Workstation,16,2.3,0,1,282.42399616439724,Intel Core i7,0,512,Nvidia,Windows,11.777361428141106
Dell,Gaming,16,2.62,0,0,282.42399616439724,Intel Core i7,0,512,Nvidia,Windows,11.401514683309674
HP,Notebook,16,1.49,0,0,165.6321180513006,Intel Core i7,0,512,Intel,Windows,11.063134731790107
Dell,Gaming,32,4.42,0,1,127.33567457123112,Intel Core i7,1000,256,Nvidia,Windows,12.030401247333158
Acer,Notebook,8,2.2,0,0,100.45466986113652,AMD Processor,1000,0,AMD,Windows,10.336863503805128
HP,Notebook,8,1.84,0,0,141.21199808219862,Intel Core i7,0,256,Intel,Windows,11.148752768718731
